
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
50:2B:73:F4:35:F1, 2018-03-14 14:00:04, 2018-03-14 14:00:28,  2,  54, WPA2, CCMP,PSK,   0,       49,      351,   0.  0.  0.  0,   7, HongJin, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3C:46:D8:C7:BA:1F, 2018-03-14 14:00:07, 2018-03-14 14:00:18, -71,       18, 50:2B:73:F4:35:F1,
D8:63:75:88:A5:45, 2018-03-14 14:00:08, 2018-03-14 14:00:19, -71,       54, 50:2B:73:F4:35:F1,HongJin
34:80:B3:FE:A4:61, 2018-03-14 14:00:13, 2018-03-14 14:00:27, -71,        7, 50:2B:73:F4:35:F1,
84:41:67:E5:65:D8, 2018-03-14 14:00:08, 2018-03-14 14:00:08, -69,        1, 50:2B:73:F4:35:F1,
10:02:B5:AA:43:EE, 2018-03-14 14:00:05, 2018-03-14 14:00:28, -67,      143, 50:2B:73:F4:35:F1,
B0:89:00:C4:0D:58, 2018-03-14 14:00:09, 2018-03-14 14:00:22, -67,       12, 50:2B:73:F4:35:F1,
30:74:96:C1:00:67, 2018-03-14 14:00:13, 2018-03-14 14:00:19, -55,       23, 50:2B:73:F4:35:F1,
30:B4:9E:91:43:A2, 2018-03-14 14:00:06, 2018-03-14 14:00:26, -51,        4, 50:2B:73:F4:35:F1,
30:B4:9E:89:4E:15, 2018-03-14 14:00:10, 2018-03-14 14:00:27, -45,       12, 50:2B:73:F4:35:F1,
EC:D0:9F:96:3A:9F, 2018-03-14 14:00:09, 2018-03-14 14:00:23, -37,       48, 50:2B:73:F4:35:F1,HongJin
F0:99:BF:5D:62:A6, 2018-03-14 14:00:06, 2018-03-14 14:00:06,  -1,        1, 50:2B:73:F4:35:F1,
70:1C:E7:4A:49:B7, 2018-03-14 14:00:09, 2018-03-14 14:00:27,  -1,        8, 50:2B:73:F4:35:F1,
C8:14:51:F6:BD:7C, 2018-03-14 14:00:09, 2018-03-14 14:00:19,  -1,       43, 50:2B:73:F4:35:F1,
1C:48:CE:28:F0:2F, 2018-03-14 14:00:10, 2018-03-14 14:00:28,  -1,       35, 50:2B:73:F4:35:F1,
88:6A:B1:28:C6:B6, 2018-03-14 14:00:11, 2018-03-14 14:00:20,  -1,        5, 50:2B:73:F4:35:F1,
B0:E5:ED:99:89:64, 2018-03-14 14:00:13, 2018-03-14 14:00:21,  -1,       28, 50:2B:73:F4:35:F1,
54:14:73:D0:F2:B7, 2018-03-14 14:00:13, 2018-03-14 14:00:21,  -1,       40, 50:2B:73:F4:35:F1,
90:F0:52:02:3D:F3, 2018-03-14 14:00:13, 2018-03-14 14:00:24,  -1,       34, 50:2B:73:F4:35:F1,
A4:44:D1:FF:16:C5, 2018-03-14 14:00:14, 2018-03-14 14:00:27,  -1,        5, 50:2B:73:F4:35:F1,
B8:63:4D:10:9E:03, 2018-03-14 14:00:15, 2018-03-14 14:00:16,  -1,        2, 50:2B:73:F4:35:F1,
84:38:35:83:6B:C3, 2018-03-14 14:00:19, 2018-03-14 14:00:19,  -1,        1, 50:2B:73:F4:35:F1,
48:BF:6B:A7:08:32, 2018-03-14 14:00:19, 2018-03-14 14:00:19,  -1,        1, 50:2B:73:F4:35:F1,

